"care_type","created_at","dashboard_viewed","how_did_you_hear_about_us","last_logged_in_at","location_id","provider_type","registered","state","type","updated_at","user_id","messages_sent_count","read_messages_count","scam_received_count","incident_type","corporate_user","sc_test_account","first_evaluated_photo_created_at","first_photo_accepted_at","first_bgc_purchase","email_verification_status"
19165974,"2021-09-16","TRUE",NA,"2021-09-16",9565,"nanny",TRUE,1,"Account::Provider",2021-09-16,"2f327109-b455-5f07-8d60-a885c3cb9b25",NA,NA,NA,NA,FALSE,"FALSE",2021-09-16,2021-09-17,NA,NA
18574341,"2021-01-10","TRUE",NA,"2021-01-12",52081,NA,TRUE,1,"Account::Seeker",2021-01-12,"8e915a26-a512-579c-8523-8235b241f264",NA,NA,1,NA,FALSE,"FALSE",NA,NA,NA,NA
18629383,"2021-01-31","TRUE",NA,"2021-04-29",22824,"babysitter",TRUE,1,"Account::Provider",2021-04-29,"8b3c0942-d131-57e0-bf4f-937c2dba6c81",5,3,1,NA,FALSE,"FALSE",2021-02-09,2021-02-09,NA,NA
18624344,"2021-01-29","TRUE",NA,"2021-02-16",75485,NA,TRUE,1,"Account::Seeker",2021-02-16,"124e1152-f025-599c-a751-01acb538fd84",NA,NA,1,NA,FALSE,"FALSE",NA,NA,NA,NA
18672898,"2021-02-18","TRUE",NA,"2021-02-18",76611,NA,TRUE,1,"Account::Seeker",2021-02-18,"461e829b-b17f-5700-baba-d0a93a17bf4a",NA,NA,NA,NA,TRUE,"FALSE",2021-02-18,2021-02-19,NA,NA
18813730,"2021-04-20","TRUE",NA,"2021-07-01",67082,"nanny",TRUE,1,"Account::Provider",2021-07-01,"c1359225-798d-56b7-adb8-fd545d434b70",NA,NA,0,NA,FALSE,"FALSE",2021-04-20,2021-04-20,NA,NA
18762907,"2021-03-27","TRUE",NA,"2021-03-27",75944,"housekeeping",TRUE,1,"Account::Provider",2021-03-27,"d8c70215-7e9f-51b7-b002-78bfce227ac8",NA,NA,NA,NA,FALSE,"FALSE",2021-03-27,2021-03-28,NA,NA
18708792,"2021-03-04","TRUE",NA,"2021-03-04",27337,"nanny",TRUE,1,"Account::Provider",2021-03-04,"59211995-da57-5e9d-81c4-c3e2d6f0d032",1,0,1,NA,FALSE,"FALSE",2021-03-04,2021-03-04,NA,NA
19042819,"2021-07-31","TRUE",NA,"2021-08-01",27434,"pet_care",TRUE,1,"Account::Provider",2021-08-01,"e5d478b2-baa8-567f-909f-4acad517e6c3",NA,NA,NA,NA,FALSE,"FALSE",2021-07-31,2021-07-31,NA,NA
18852917,"2021-05-08","TRUE",NA,"2021-05-08",65350,NA,TRUE,1,"Account::Seeker",2021-05-08,"d94718a8-275b-590b-8de6-7bb4b6f481b1",NA,NA,1,NA,FALSE,"FALSE",NA,NA,NA,NA
18924899,"2021-06-14","TRUE",NA,"2021-07-16",43244,"nanny",TRUE,1,"Account::Provider",2021-07-16,"83563882-7151-5f17-9bc7-5b919cf8994f",2,0,NA,NA,FALSE,"FALSE",2021-06-14,2021-06-14,NA,NA
18957820,"2021-06-27","TRUE",NA,"2021-10-01",72444,"babysitter",TRUE,1,"Account::Provider",2021-10-01,"fb548746-5252-58cf-b518-8dd0d0eeb639",NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA
18900326,"2021-06-03","TRUE",NA,"2021-06-03",78395,NA,TRUE,1,"Account::Seeker",2021-06-03,"829864a6-19b3-5b1a-b811-4119355da3a8",NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA
18689942,"2021-02-25","TRUE",NA,"2021-02-25",65934,"babysitter",TRUE,1,"Account::Provider",2021-02-25,"643edbbf-0c97-5914-8336-bbb553aefd18",NA,NA,NA,NA,FALSE,"FALSE",2021-02-25,2021-02-25,NA,NA
18831777,"2021-04-27","TRUE",NA,"2021-04-29",51761,"nanny",TRUE,1,"Account::Provider",2021-04-29,"45eebdcc-d5d6-572f-9e4b-e2e3b81927c7",NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA
19019957,"2021-07-21","TRUE",NA,"2021-07-21",7432,"babysitter",TRUE,1,"Account::Provider",2021-07-21,"a5b839da-873c-5c98-862a-64381be0f4af",2,1,NA,NA,FALSE,"FALSE",2021-07-21,2021-07-21,NA,NA
18874590,"2021-05-21","TRUE",NA,"2021-08-27",7944,NA,TRUE,1,"Account::Seeker",2021-08-27,"f2d67dba-5e62-5797-b409-b0b7eb1edbf2",26,23,1,NA,FALSE,"FALSE",2021-05-21,2021-05-21,NA,NA
18919699,"2021-06-11","TRUE",NA,"2021-06-11",52439,NA,TRUE,1,"Account::Seeker",2021-06-11,"ff0acda5-2a02-525c-9d75-681d57a661d8",NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA
19071849,"2021-08-10","TRUE",NA,"2021-10-29",75416,"nanny",TRUE,1,"Account::Provider",2021-10-29,"ec3872b3-221b-5c8f-8070-69c589929f4a",1,0,0,NA,FALSE,"FALSE",2021-08-10,2021-08-10,NA,NA
19091404,"2021-08-17","TRUE",NA,"2021-08-18",73295,"nanny",TRUE,1,"Account::Provider",2021-08-18,"eccb1c65-301c-5868-8972-2d8bf56addab",NA,NA,NA,NA,FALSE,"FALSE",2021-08-17,2021-08-17,NA,NA
18762907,"2021-03-27","TRUE",NA,"2021-03-27",75944,"housekeeping",TRUE,1,"Account::Provider",2021-03-27,"d8c70215-7e9f-51b7-b002-78bfce227ac8",NA,NA,NA,NA,FALSE,"FALSE",2021-03-27,2021-03-28,NA,NA
18672460,"2021-02-18","TRUE",NA,"2021-02-22",30012,"babysitter",TRUE,1,"Account::Provider",2021-02-22,"37d35b58-fc3a-5b31-9c95-bf677c7d37bd",2,0,NA,NA,FALSE,"FALSE",2021-02-19,2021-02-20,NA,NA
19024685,"2021-07-23","TRUE",NA,"2021-08-28",66188,"babysitter",TRUE,1,"Account::Provider",2021-08-28,"b6b71966-65a5-566b-96ef-dd6c13d0a420",2,2,NA,NA,FALSE,"FALSE",2021-07-25,2021-07-25,NA,NA
18613240,"2021-01-25","TRUE",NA,"2021-04-30",52377,NA,TRUE,1,"Account::Seeker",2021-04-30,"236701a3-9e57-505a-bd9a-0f697b233f38",8,7,1,NA,FALSE,"FALSE",NA,NA,NA,NA
