Sitters Member ID,Sitters User ID,Sitters Sitter Has Review (Yes / No),Sitters Average Rating,Sitters Total Number of Reviews
19275003,94831dae-1ec5-5c4e-96f2-fdbb36ad1bd4,No,,0
14990282,3c180c27-ea51-5772-9283-30e0cafd5409,No,,0
18635196,2d3d2678-84bf-52b4-8e12-984a785850df,No,,0
18923130,ffaf60b2-0d60-59e0-80b6-d4b19eeb8934,No,,0
20271267,b0b6f4f8-36ef-5de9-a8dd-8dea637a5752,No,,0
18351111,57eae0c9-7068-514c-a658-167ecbfe7587,No,,0
19615096,7c15c138-fc46-5106-bd2e-50cdf4615b18,No,,0
13043111,81b1ff2a-fb67-58b9-94c4-13071fd59c80,No,,0
11762111,0286cac7-0c10-5ac8-8d1b-70d55346ca1f,No,,0
18860606,bcb845a4-5381-5e9d-8d62-e04b7d76e0fe,No,,0
19414719,e13dda96-f05b-5ab0-b30c-ccfdb6d342ff,No,,0
19965136,73513092-f688-5630-b98b-10fe2cefb3a8,No,,0
17706878,94f276a0-da52-51b4-a812-1515cee91353,No,,0
19078965,408e5e02-135b-5ce4-b378-75d34ad2ee9a,No,,0
18840717,c4deb3df-254b-5aee-b8f1-f7b33886703a,No,,0
19992564,a3f929f6-4e87-56bb-83c0-6b58caf9c471,No,,0
20365561,e859ceb2-f965-5fe3-a4eb-7d8415e9b1a3,No,,0
19648148,d7c2b0ae-fe66-5e41-9304-f2172538b3a0,No,,0
19716979,943b6a70-c526-5423-b277-92f1f46c24ef,No,,0
20199380,883d6580-5af2-5429-8f25-0bd29b715a3f,No,,0
19713371,041862e9-bc22-5b99-b352-e1e1a60e4935,No,,0
14442911,84258e00-081c-5851-9f68-f198911e63d3,No,,0
13191694,2a9fdd64-e7ce-51ab-b263-8ee1079917fe,No,,0
19191622,e6f3a3e6-8676-5145-9f0d-99e034f435bc,No,,0
18578035,d01b0590-8a3e-5c6f-ac99-5ed1d7f2662e,No,,0
19830644,84d277d3-5eeb-56a6-bc29-b03c3a5045ff,No,,0
19438170,29b6660f-b4cf-5c4a-add8-1123ae0977fa,No,,0
15624880,deb68685-1e17-5bbb-b8fd-58fcd5b2bdcc,No,,0
19761961,5f4c1e73-deb8-55dd-ad2c-819cdcf71b10,No,,0
15487264,57de9921-5217-58ca-853d-50369d40cf8e,No,,0
12299283,208bdc7c-6e3e-5f06-b5b7-ba371e780160,No,,0
19903658,963140ff-caed-56ff-a74c-6b0410f25c52,No,,0
20248379,ecf6b5bc-9415-58f9-ba63-e72f83bfef8e,No,,0
12007069,3137f2ce-607c-5b13-b85e-4f5797dfefa1,No,,0
20046842,dd3d243d-7d45-5428-90dc-ca85b76a9bd1,No,,0
20432664,6c17babd-49b1-5005-9aac-0d9c6af1a483,No,,0
19971470,a403b0d6-a33e-5d68-a0f2-91a23cf2f3ae,No,,0
19678066,b0a1711b-7dc8-543c-829a-6a21331cd7fd,No,,0
17658337,62004e27-53b4-58e8-a02e-73f93fc75893,No,,0
16052483,193f35fa-eb9c-50fa-ba29-a562249586c3,No,,0
18893593,465de7ed-e248-534c-92ff-c314ebe492ea,No,,0
18971677,c52e0b10-ebde-58a3-8885-fa519e437d41,No,,0
19632120,e374949b-df70-5e16-9b96-f61c494d2811,No,,0
18560669,43da5eca-7d77-51ac-9a32-96f641fc98cf,No,,0
18216452,597c25f6-242b-524a-bb2b-a3c98dafc908,No,,0
17586138,50cba201-d02e-5a4f-a3bc-c39aa09c38ab,No,,0
18999111,b86d627d-dcfa-5ab9-88e1-8b1bc2eb5c34,No,,0
15285324,11eb0b9f-725e-53cc-90b8-e2ccc1b53097,No,,0
15999014,c40ce61f-be08-5b89-a973-1e352d19b234,No,,0
18799463,e352c852-300b-5387-ae93-28c7aad3e621,No,,0
19722510,b467dcf5-8210-510a-a5c0-c840e8d56996,No,,0
19225143,85624ace-40a8-58bc-b386-2ff675ad203d,No,,0
19428542,b6863c4b-727f-5ec0-b536-ff6ae36e1852,No,,0
18434268,516e9aac-cc7b-5f12-9c13-c918dc1d4640,No,,0
18968827,09fbfefe-781e-5699-bc5a-abaad2c55bf2,No,,0
12563820,4f175a1c-aa35-5e29-8cd3-cc8a76f3ba4e,No,,0
19302142,cd9ce76f-a9fe-5d34-8389-c02b784f8a87,No,,0
20402545,64ce7e68-8419-5fd8-b5d3-58122405b415,No,,0
19691501,3b04cd9f-7718-5b9f-8236-9018c7ec903f,No,,0
18412995,ead5ed5e-5478-547d-bba1-cbb2c77dc438,No,,0
19308558,77ecf074-8312-59d3-9121-a85191b4c9a2,No,,0
19843028,7870e831-7b6c-57fe-ad54-bb5c79aa4603,No,,0
18922437,7780d826-dbb2-5067-a7bb-32cc1e0e4bff,No,,0
15054562,ce7eaf36-7b4b-5c67-ad6f-f377940eb198,No,,0
17396896,cdfe1115-2291-5549-afad-24145aa4c285,No,,0
20422409,32dde597-3520-5955-ad18-d55046e1c4bd,No,,0
19325547,0678c576-10ea-5c2a-828c-8c4a55f06c8f,No,,0
16115276,9d3615f1-3d01-5aa5-b5e1-43e6baa05a92,No,,0
19772039,4f2e2381-ccc7-5d45-bdaa-442004e193d2,No,,0
18869567,0aabfdde-8d2d-58a3-a922-5964e515e133,No,,0
20170858,d3c1765d-d1fc-58bc-9939-6d0f153ae17a,No,,0
13800850,eea7e06f-b120-56d8-82e3-99c5fdfced15,No,,0
18963885,9e1410b4-91b4-585e-84e8-30fa3ef03aa2,No,,0
20502962,52460d58-afc6-5be8-8bfa-0654f7c76e59,No,,0
19921802,8f6de1f6-55ba-5330-9d00-4f4c57282986,No,,0
11448542,1e38d8ff-3fd0-5611-968c-00fc1b6b7bfa,No,,0
20144535,01d98940-0e55-5e32-8ab6-48e203e74c3e,No,,0
18169423,acbd6b62-f7dd-55dd-b6fe-4ee378b8e579,No,,0
11712685,29983df8-6e0f-5d3b-b357-8d68f8bff01c,No,,0
16296229,a234a005-ad86-59ff-965e-67889bd47744,No,,0
18649330,21289bc2-ad38-5656-8d25-08127afb51d1,Yes,5.00,2
18997898,63f27f35-6e62-56a2-b6ff-94afefb5ada6,No,,0
15563923,e2aed28e-6c32-58f2-8bb9-306c7cdf1118,No,,0
19287342,6d108f07-7c2b-5d5e-b201-847993a28533,No,,0
19564677,295098f3-f9dc-53a4-b255-41a463fcc138,No,,0
17181693,1a2d1847-b4bf-511a-b6ac-c6568ff8f9a3,No,,0
19203025,ad585a67-6491-5f59-9fc8-37b39716f653,No,,0
19741220,d1c60722-cb57-5471-a4e4-c7a62ec30de0,No,,0
19035149,872281d0-1522-5b4d-8fe5-4ce65392e3b0,No,,0
19373803,30548ed8-86cc-513c-9611-9a5d167f95a1,No,,0
19717140,3ff507df-6837-5acb-a751-77656be7e25d,No,,0
20094190,1a6c9a10-7253-52eb-9ee5-61263f7ef454,No,,0
18163809,1e41676f-a699-5ab4-833c-c756e78e0acf,No,,0
18064541,397c1062-12ae-5b7e-b4a3-c227139babad,No,,0
18278436,f2d16632-6e37-5eac-be7a-f01e74d6bc44,No,,0
11830046,697f94c3-97c4-5852-ab54-1dde57677ef3,No,,0
10383558,372ab662-dd6c-538e-8edc-518e1a6b5682,No,,0
17907634,e62755a4-5417-526b-b037-54d68d97c554,No,,0
13190667,06dac621-a530-56aa-936b-e120751bf3a7,No,,0
17270762,662c4909-62c6-5d2d-82bc-e1052ac8f3c8,No,,0
20470896,e148c3d6-553a-5389-a967-84084319f3f2,No,,0
13092765,eb64695e-5451-5556-ae06-75fed3257435,No,,0
16325487,68ba869c-da34-5adb-af0b-fef09f26b58d,No,,0
19130731,f3dfe8b8-57f8-526d-a609-b1d2518285d1,No,,0
17140426,e83a3aff-9529-58b7-a022-cdf7fc9c14b2,No,,0
10791857,d93b3220-7a98-5165-be13-99e68e7ef806,No,,0
13376757,e6384bad-6b0f-5515-bf55-575791cbd98a,No,,0
19231133,8c6b26c8-7ee4-5383-bb38-7deafa94e12a,No,,0
18447191,4bdcf013-073b-52b7-a868-e4ac7f5edbdd,No,,0
18448670,48a82047-a7d4-5a23-8f9b-696e2c5ee508,No,,0
20099847,f8750b0a-fd61-5ed2-82c0-c66535ad60d7,No,,0
17655880,5f7c0e86-053a-5dab-ae25-3e795f5482f6,No,,0
19784085,568dd03b-9803-5ab5-9151-61c5769d5595,No,,0
17923611,dd7b3789-124b-56e2-a540-c7fc952b15ef,No,,0
19547851,48467085-1686-54c5-a029-5c02314ad8f4,No,,0
